gene_name number_of_transposon_per_gene number_of_read_per_gene
NCB2 3 4
UTP5 10 58
HPT1 7 62
URH1 19 1007
YDR401W 27 1169
DIT2 42 2139
DIT1 29 610
RPB7 0 0
MRP20 2 1
PDR15 168 15002
YDR406W-A 4 13
TRS120 5 6
ADE8 0 0
SIZ1 30 1288
STE14 21 425
DFM1 16 637
RRP17 4 18
YDR413C 4 18
ERD1 13 87
YDR415C 15 375
SYF1 8 52
YDR417C 3 6
RPL12B 1 0
RAD30 21 549
HKR1 41 1882
ARO80 38 1549
SIP1 32 2920
CAD1 16 882
DYN2 3 36
SNX41 21 232
YDR426C 3 13
RPN9 3 4
BNA7 5 253
TIF35 3 4
CYM1 57 2803
YDR431W 15 836
NPL3 4 3
YDR433W 3 2
GPI17 2 1
PPM1 23 641
PPZ2 31 842
GPI19 2 24
THI74 13 297
LRS4 2 1
DOT1 32 1297
APT2 13 173
YDR442W 8 215
SSN2 35 939
YDR444W 41 703
YDR445C 19 713
ECM11 14 156
RPS17B 8 307
ADA2 6 15
UTP6 4 3
RPS18A 5 6
YHP1 26 1877
PPN1 49 2372
TSA2 28 2008
GUK1 0 0
YDR455C 3 38
NHX1 21 819
TOM1 74 2514
HEH2 10 552
PFA5 28 1512
TFB3 0 0
MFA1 4 85
YDR461C-A 3 46
MRPL28 1 0
STP1 13 186
SPP41 6 37
YDR464C-A 0 0
RMT2 19 576
PKH3 16 236
YDR467C 10 137
TLG1 4 7
SDC1 4 89
UGO1 0 0
RPL27B 6 86
TRS31 4 13
PRP3 12 79
JIP4 31 581
YDR476C 48 2004
SNF1 3 2
SNM1 6 26
PEX29 22 653
DIG2 20 393
PHO8 37 2181
CWC21 30 735
KRE2 15 271
VPS52 7 9
VPS72 9 34
VPS60 6 110
RIB3 0 0
PAC11 15 370
SLD5 2 1
PKH1 63 3684
YDR491C 29 1606
IZH1 19 479
MZM1 11 449
RSM28 21 410
VPS3 9 130
PUF6 14 441
ITR1 20 887
SEC20 5 21
LCD1 3 5
RPL37B 5 11
PLM2 26 358
SAM2 18 904
LPP1 14 931
SPG3 6 70
PSP1 9 75
GMC1 83 2935
GIN4 37 2145
GNP1 23 558
YDR509W 13 249
SMT3 0 0
YDR510C-A 3 14
SDH7 9 213
EMI1 38 1945
GRX2 5 19
YDR514C 27 904
SLF1 14 139
EMI2 24 1213
GRH1 29 968
EUG1 28 1050
FPR2 15 424
URC2 35 1074
YDR521W 5 112
SPS2 10 107
SPS1 42 1181
AGE1 17 594
YDR524W-C 5 58
YDR524C-B 4 8
YDR524C-A 11 117
API2 25 423
SNA2 18 1039
YDR526C 1 0
RBA50 4 47
HLR1 33 863
QCR7 0 0
APA2 14 781
CAB1 3 6
KRE28 6 18
HSP31 7 38
FIT1 15 692
YDR535C 46 2600
STL1 38 2683
YDR537C 9 272
PAD1 13 390
FDC1 20 266
IRC4 7 108
YDR541C 19 1139
PAU10 1 0
YDR543C 18 303
YDR544C 22 611
YRF1-1 73 110
YDR545C-A 3 3
YEL077C 87 2643
YEL077W-A 8 9
YEL076C-A 10 15
YEL076C 8 13
YEL075W-A 11 16
YEL075C 3 2
YEL074W 50 2483
YEL073C 7 91
RMD6 24 1547
DLD3 41 2080
DSF1 31 884
HXT13 32 1396
YEL068C 8 253
YEL067C 38 3474
HPA3 35 1006
SIT1 40 1987
AVT2 28 942
CAN1 39 2460
NPR2 8 25
CIN8 13 162
PRB1 26 401
SOM1 6 81
HHY1 59 2804
PCM1 3 3
YEL057C 33 1052
HAT2 24 580
POL5 4 4
RPL12A 2 5
YEL053W-A 0 0
MAK10 30 644
AFG1 40 1039
VMA8 1 0
YEL050W-A 6 164
RML2 4 11
PAU2 11 414
TCA17 9 51
FRD1 37 1581
GLY1 3 71
YEL045C 34 1278
IES6 3 22
YEL043W 57 2414
GDA1 31 850
YEF1 41 1680
UTR2 40 1461
CYC7 8 53
UTR4 38 1749
RAD23 8 182
ANP1 18 216
UTR5 87 3563
YEL034C-A 7 8
HYP2 5 5
MTC7 69 3577
MCM3 5 4
YEL032C-A 0 0
SPF1 16 274
YEL030C-A 12 692
ECM10 40 1243
BUD16 1 0
YEL028W 18 549
VMA3 0 0
SNU13 0 0
YEL025C 85 3587
RIP1 1 0
YEL023C 83 3120
GEA2 87 3694
URA3 597 82798
YEL020C-B 2 1
TIM9 4 5
YEL020C 71 4014
MMS21 10 304
YEL018C-A 21 1823
EAF5 39 2266
PMP2 8 112
GTT3 70 3026
NPP2 80 5301
EDC3 83 4984
YEL014C 53 1270
VAC8 14 236
UBC8 12 51
GLC3 146 10546
YEL010W 49 2018
YEL009C-A 53 2173
GCN4 4 36
YEL008W 151 17812
YEL008C-A 39 3350
MIT1 87 3501
YEA6 105 4405
VAB2 50 2800
YEA4 92 3894
GIM4 46 1579
WBP1 2 1
IRC22 80 3300
MNN1 207 12700
NOP16 22 264
PMI40 0 0
FMP52 96 5576
YND1 151 11548
NUG1 18 587
YER006C-A 41 1611
PAC2 109 5341
TMA20 34 1170
SEC3 81 4193
NTF2 0 0
YER010C 39 1624
TIR1 17 133
PRE1 4 145
PRP22 27 646
HEM14 3 2
BUD25 65 3575
FAA2 76 4142
BIM1 41 1964
AFG3 3 11
SPC25 9 123
ISC1 86 3082
SBH2 12 118
GPA2 102 3528
RPN3 12 1114
SRB4 7 26
PRO3 3 10
YER023C-A 1 0
YAT2 101 4744
GCD11 1 0
CHO1 0 0
GAL83 34 1149
MIG3 99 4328
SMB1 16 485
CHZ1 12 30
YPT31 11 85
FIR1 57 2601
ZRG8 61 2006
YER034W 107 8470
EDC2 85 3663
ARB1 2 1
PHM8 28 872
KRE29 5 7
YER038W-A 12 589
HVG1 20 1003
YER039C-A 4 69
GLN3 37 1057
YEN1 52 2474
MXR1 10 392
SAH1 1 0
ERG28 2 7
MEI4 67 2190
ACA1 25 844
SPO73 27 551
YER046W-A 11 310
SAP1 53 1784
CAJ1 24 1403
ISD11 1 0
TPA1 26 865
RSM18 3 2
JHD1 37 2152
HOM3 8 80
PIC2 34 1596
YER053C-A 3 2
GIP2 59 2993
HIS1 20 789
FCY2 32 935
RPL34A 6 64
HMF1 12 930
PET117 1 0
PCL6 26 1845
FCY21 36 731
FCY22 26 1157
CEM1 1 0
GPP2 13 344
THO1 19 337
VHR2 29 931
ICL1 41 3267
RRT13 8 100
YER066C-A 13 217
RGI1 5 205
YER067C-A 3 145
MOT2 18 384
YER068C-A 7 82
ARG5,6 8 79
RNR1 4 3
TDA2 4 48
VTC1 8 135
ALD5 37 922
RPS24A 0 0
YOS1 0 0
PTP3 36 2825
YER076C 30 701
YER076W-A 3 7
YER077C 12 461
ICP55 62 2086
YER078W-A 18 366
YER079W 10 639
YER079C-A 6 66
AIM9 26 1279
SER3 30 1484
UTP7 8 24
GET2 7 45
YER084W 47 2582
YER084W-A 8 44
YER085C 7 43
ILV1 3 5
AIM10 4 3
YER087C-A 1 0
SBH1 5 23
DOT6 62 2620
YER088C-A 65 2876
YER088W-B 31 1753
PTC2 80 3623
TRP2 32 2109
YER090C-A 1 0
MET6 7 63
YER091C-A 38 1897
IES5 10 384
TSC11 37 807
AIM11 9 20
PUP3 1 0
RAD51 2 1
SHC1 30 794
YER097W 23 670
UBP9 38 1904
PRS2 23 921
UBC6 18 789
AST2 26 828
RPS8B 5 18
SSA4 24 504
RTT105 13 682
NUP157 66 3585
MAM1 18 617
GLE2 0 0
YER107W-A 4 28
KAP123 11 329
SWI4 14 134
LSM4 1 0
TMN3 37 1511
BOI2 43 1072
SPR6 20 746
SLX8 17 1452
RPL23B 1 0
SHO1 12 128
AVT6 32 1239
YER119C-A 36 1960
SCS2 5 11
YER121W 9 155
GLO3 27 939
YCK3 15 92
DSE1 24 801
RSP5 1 0
NSA2 0 0
LCP5 7 230
VFA1 24 901
SAK1 58 4054
COM2 21 1632
RPS26B 6 179
PMD1 65 3064
GLC7 1 0
YER133W-A 5 47
YER134C 10 152
YER135C 14 1481
GDI1 1 0
YER137C 20 1231
YER137W-A 4 5
YER138W-A 4 3
RTR1 4 123
EMP65 18 821
COX15 2 1
MAG1 29 1358
DDI1 29 551
UBP5 51 1873
FTR1 41 2940
YER145C-A 15 323
LSM5 6 47
SCC4 16 131
YER147C-A 3 3
SPT15 4 15
YER148W-A 13 241
PEA2 22 510
SPI1 12 831
UBP3 25 232
YER152C 39 2897
YER152W-A 17 533
PET122 4 28
OXA1 5 6
BEM2 20 189
YER156C 10 76
COG3 10 128
YER158C 37 1169
YER158W-A 6 45
BUR6 6 45
SPT2 12 193
RAD4 14 255
GCG1 6 361
CHD1 12 215
PAB1 0 0
YER165C-A 3 126
DNF1 76 3819
BCK2 23 394
CCA1 3 2
RPH1 30 886
ADK2 9 143
RAD3 5 4
BRR2 18 624
YER172C-A 6 235
RAD24 20 579
GRX4 19 356
TMT1 16 468
YER175W-A 1 0
ECM32 131 7039
BMH1 20 609
PDA1 9 114
DMC1 42 1678
ISC10 15 230
SLO1 2 4
YER181C 6 208
FMP10 7 41
FAU1 7 39
TOG1 42 1544
PUG1 12 376
YER186C 37 1034
YER187W 30 800
YER188W 27 1629
YER188C-A 31 1912
YER189W 4 3
YRF1-2 81 1081
YER190C-A 2 1
YER190C-B 1 0
YFL068W 0 0
YFL067W 6 22
YFL066C 10 9
YFL065C 9 9
YFL064C 14 16
YFL063W 27 1040
COS4 16 303
DDI2 9 149
SNO3 13 118
SNZ3 17 218
THI5 13 124
AGP3 49 1500
YFL054C 49 2221
DAK2 57 2057
YFL052W 41 1202
YFL051C 15 590
ALR2 75 3916
SWP82 29 1023
EMP47 10 89
RGD2 33 1150
FMP32 21 805
SEC53 0 0
OTU1 28 862
YFL042C 48 3359
YFL041W-A 2 7
FET5 48 2403
YFL040W 56 3118
ACT1 0 0
YPT1 0 0
TUB2 5 11
RPO41 7 10
MOB2 36 1768
RPL22B 31 1253
YFL034W 57 4070
RIM15 25 616
YFL032W 37 1195
HAC1 7 54
YFL031C-A 0 0
AGX1 55 2743
CAK1 4 3
CAF16 23 870
GYP8 38 2542
STE2 36 1914
BST1 44 818
EPL1 18 398
BUD27 73 2319
FRS2 5 4
YFL021C-A 147 6471
GAT1 116 3230
PAU5 6 33
YFL019C 10 16
LPD1 3 4
SMX2 0 0
GNA1 2 3
MDJ1 18 1159
YFL015W-A 30 637
YFL015C 70 3303
HSP12 17 769
YFL013W-A 124 9834
IES1 148 10762
YFL012W-A 67 3257
YFL012W 24 1299
HXT10 71 4845
AUA1 11 194
WWM1 37 753
CDC4 8 45
SMC1 0 0
BLM10 193 10692
SEC4 1 0
VTC2 98 5336
MSH4 246 13247
SPB4 5 38
DEG1 30 481
LOC1 11 68
NIC96 62 2032
YPI1 6 31
RPN11 5 11
SAD1 2 1
YFR006W 149 9539
YFH7 103 7581
FAR7 18 415
GCN20 90 5886
YFR009W-A 7 62
UBP6 8 77
YFR010W-A 5 38
MIC19 16 997
DCV1 57 3928
YFR012W-A 3 7
IOC3 133 6723
CMK1 101 4122
GSY1 127 6803
YFR016C 103 5151
IGD1 50 3656
YFR018C 262 27403
FAB1 68 3840
YFR020W 29 823
ATG18 21 996
ROG3 97 3698
PES4 81 4637
LSB3 33 870
HIS2 56 2577
ULI1 70 2454
ECO1 1 0
CDC14 16 261
PTR3 7 13
MET10 81 2964
SMC2 9 13
RPL2A 18 459
RRT5 39 718
RPL29 20 644
YFR032C-B 30 961
QCR6 52 2219
PHO4 195 12375
YFR034W-A 85 4833
YFR035C 64 3055
CDC26 5 8
YFR036W-A 12 183
RSC8 12 183
IRC5 71 2827
OSW7 25 1365
SAP155 31 529
ERJ5 44 3002
KEG1 0 0
IRC6 30 1835
DUG1 80 6261
YFR045W 30 1432
CNN1 15 201
BNA6 27 1197
RMD8 69 5379
YMR31 14 711
PRE4 2 1
RET2 48 3254
RPN12 1 0
YFR052C-A 11 202
HXK1 29 390
YFR054C 7 108
YFR056C 22 1002
IRC7 22 676
YFR057W 3 121
COS12 0 0
YGL262W 0 0
PAU11 1 0
YGL260W 1 0
YPS5 5 45
YGL258W-A 2 1
VEL1 19 198
MNT2 32 792
ADH4 20 910
ZRT1 5 4
FZF1 52 1467
HXK2 30 996
RTG2 12 186
HFM1 66 1642
RMR1 8 85
ZIP2 56 2699
PDE1 41 1838
BRR6 0 0
RAI1 3 2
GUS1 7 11
RTF1 7 58
TAD1 10 47
YGL242C 6 43
KAP114 34 996
DOC1 6 17
YGL239C 8 91
CSE1 4 3
HAP2 15 308
MTO1 6 55
YGL235W 1 0
ADE5,7 4 3
SEC15 4 18
TAN1 9 152
EMC4 6 6
YGL230C 10 77
SAP4 30 960
SHE10 25 1476
VID30 13 489
OST5 5 32
MTC3 6 430
VRG4 0 0
SDT1 17 360
COG1 8 113
EDC1 4 53
NIF3 2 2
FRA2 10 171
MDM34 6 18
YGL218W 2 1
YGL217C 6 51
KIP3 27 744
CLG1 11 396
YGL214W 5 16
SKI8 3 16
VAM7 6 123
NCS6 12 118
YPT32 11 364
MIG2 12 116
SIP2 34 1204
SPT16 4 4
CHC1 7 17
POX1 33 866
YGL204C 3 2
KEX1 27 757
ARO8 31 1358
MCM6 10 17
EMP24 8 251
YGL199C 13 152
YIP4 15 178
MDS3 21 648
DSD1 17 601
GCN1 26 561
YGL194C-A 1 0
HOS2 16 110
YGL193C 17 263
IME4 26 769
COX13 16 457
CDC55 5 4
RPS26A 3 2
YGL188C-A 1 0
YGL188C 13 395
COX4 2 1
TPN1 23 803
YGL185C 31 2139
STR3 31 1547
MND1 21 1107
YGL182C 8 181
GTS1 36 1663
ATG1 4 22
TOS3 51 1927
MPT5 29 1609
YGL177W 9 627
YGL176C 29 503
SAE2 9 195
BUD13 26 733
XRN1 21 494
NUP49 3 5
ROK1 8 271
SPO74 14 454
SUA5 4 4
HUR1 7 25
PMR1 4 3
CUP2 17 1141
YGL165C 33 808
YRB30 16 418
RAD54 13 133
SUT1 20 760
YIP5 16 807
AIM14 21 1175
YGL159W 18 267
RCK1 29 996
ARI1 19 809
AMS1 54 3576
CDC43 5 6
LYS5 14 432
PEX14 19 594
YGL152C 24 1286
NUT1 55 2817
INO80 13 101
YGL149W 17 420
ARO2 4 28
RPL9A 7 178
RRT6 20 1239
TIP20 15 495
ROG1 22 267
MRF1 1 0
GPI10 5 5
HUL5 33 669
YGL140C 48 3243
FLC3 25 846
YGL138C 16 271
SEC27 11 174
MRM2 9 231
RPL1B 1 0
PCL10 15 323
ITC1 58 2679
YGL132W 5 197
SNT2 30 1358
CEG1 0 0
RSM23 0 0
CWC23 6 5
SOH1 3 2
SCS3 104 6291
MET13 18 617
MON1 12 807
RPS2 0 0
YGL123C-A 0 0
NAB2 4 10
GPG1 6 32
PRP43 9 37
COQ8 8 32
YGL118C 30 718
YGL117W 24 1421
CDC20 3 3
SNF4 5 68
YGL114W 36 1074
SLD3 11 310
TAF6 0 0
NSA1 1 0
CUE3 18 459
YGL109W 20 1043
YGL108C 12 321
RMD9 3 2
MLC1 0 0
ARC1 14 858
VPS73 20 465
RPL28 1 0
YGL102C 1 0
YGL101W 8 208
SEH1 9 103
LSG1 3 7
USE1 0 0
SRM1 8 18
TOS8 24 431
VPS45 8 384
PAN2 29 663
SPC105 11 95
NUP145 13 291
NBP35 3 35
LIF1 20 266
MF(ALPHA)2 17 962
YGL088W 19 598
MMS2 17 635
MAD1 52 4632
LCL3 6 133
GUP1 4 42
SCY1 27 899
YGL082W 32 1149
YGL081W 15 501
MPC1 12 150
KXD1 11 209
DBP3 6 90
HNM1 55 3633
RPL7A 0 0
MPS2 4 180
YGL074C 20 826
HSF1 39 1811
YGL072C 38 1622
AFT1 24 388
RPB9 4 4
YGL069C 1 0
MNP1 1 0
NPY1 17 584
SGF73 24 557
ALG2 5 235
MRH4 0 0
PUS2 90 5507
YGL063C-A 26 1418
PYC1 46 2123
DUO1 13 154
YBP2 44 1588
PKP2 22 311
RAD6 4 36
GEP7 27 1020
SDS23 35 1168
OLE1 4 45
ERV14 2 8
PRM8 13 673
YGL052W 17 707
MST27 29 657
TYW3 35 991
TIF4632 41 2142
RPT6 1 0
ALG13 2 2
RIM8 70 3572
RNA15 5 17
DST1 15 262
YGL042C 12 109
YGL041C-B 17 608
YGL041W-A 24 1195
YGL041C 9 177
HEM2 1 0
YGL039W 33 833
OCH1 4 8
PNC1 28 657
YGL036W 41 1188
MIG1 21 626
YGL034C 37 412
HOP2 27 463
AGA2 5 18
RPL24A 10 56
RPL30 1 0
CGR1 1 0
SCW11 35 2050
CWH41 71 4011
TRP5 49 3255
PGD1 30 707
YGL024W 32 1640
PIB2 90 4055
STT3 8 49
ALK1 99 6200
GET1 4 14
CKB1 13 349
JAC1 2 1
ATE1 43 1436
KAP122 66 1885
YGL015C 23 731
PUF4 58 2098
YGL014C-A 1 0
PDR1 92 2849
ERG4 18 330
SCL1 4 7
MPO1 50 2799
LEU1 88 5114
PMA1 2 1
YGL007C-A 5 70
BRP1 44 5159
YGL006W-A 35 635
PMC1 161 7227
COG7 41 1866
RPN14 115 6001
CDH1 148 9204
ERP6 65 3908
ERG26 1 0
EFM5 75 2757
SWC4 45 2481
CUL3 116 9353
PEX31 121 7117
TFG2 32 295
PRP18 36 4291
ECT1 92 5337
STF2 23 1554
SEC9 22 976
NMA2 81 5367
YGR011W 31 1504
YGR012W 93 5518
SNU71 52 1871
MSB2 79 2055
YGR015C 122 11287
YGR016W 30 924
YGR017W 52 3188
YGR018C 27 1629
UGA1 116 7779
VMA7 1 0
YGR021W 54 1202
YGR022C 11 391
MTL1 52 2052
THG1 2 1
YGR025W 52 3098
YGR026W 57 3018
RPS25A 7 124
MSP1 32 732
ERV1 2 1
POP6 1 0
IMO32 164 12234
NAG1 77 5289
GSC2 164 9451
TIM21 27 516
RPL26B 12 35
YGR035C 4 6
YGR035W-A 18 869
CAX4 7 43
ACB1 0 0
ORM1 21 1469
YGR039W 14 154
KSS1 38 2779
BUD9 50 3356
YGR042W 39 574
NQM1 26 1114
RME1 18 210
YGR045C 56 2133
TAM41 8 285
TFC4 3 2
UFD1 10 294
SCM4 45 2437
YGR050C 30 1334
YGR051C 34 3514
FMP48 44 2182
YGR053C 34 1679
YGR054W 25 1098
MUP1 33 2733
RSC1 35 1819
LST7 13 238
PEF1 10 54
SPR3 20 703
ERG25 0 0
ADE6 8 13
COX18 5 59
SPT4 3 181
YGR064W 24 536
VHT1 1 0
YGR066C 12 637
YGR067C 58 2780
ART5 152 9089
YGR068W-A 4 125
YGR069W 18 234
ROM1 37 1646
ENV11 20 398
UPF3 7 59
YGR073C 6 26
SMD1 0 0
PRP38 0 0
MRPL25 2 261
PEX8 24 1074
PAC10 10 76
YGR079W 43 1745
TWF1 12 722
SLX9 7 125
TOM20 0 0
GCD2 3 2
MRP13 12 631
RPL11B 3 5
PIL1 13 152
PDC6 69 4462
CTT1 26 545
NNF2 44 2094
UTP22 1 0
PRP31 11 79
DBF2 6 46
DRN1 14 526
VAS1 5 4
RRP46 2 1
TPC1 92 4362
ASK10 57 1942
ESP1 4 3
TEL2 5 10
MDR1 36 1221
PCP1 7 84
GTF1 0 0
NOP7 2 1
SRB5 3 2
VMA21 0 0
VOA1 7 190
YGR107W 37 2867
CLB1 19 1133
CLB6 18 287
CLD1 20 575
YGR111W 29 780
SHY1 0 0
DAM1 4 41
YGR114C 7 182
YGR115C 1 0
SPT6 6 11
YGR117C 37 1027
RPS23A 4 65
NUP57 2 1
COG2 3 2
MEP1 69 3240
YGR121W-A 44 2279
YGR122W 26 1720
YGR122C-A 1 0
PPT1 27 456
ASN2 24 1257
YGR125W 47 2056
YGR126W 22 755
YGR127W 48 1044
UTP8 2 4
SYF2 15 411
YGR130C 27 1186
FHN1 10 299
PHB1 4 29
PEX4 10 433
CAF130 34 1268
PRE9 5 147
LSB1 8 93
YGR137W 6 67
TPO2 14 288
YGR139W 8 30
CBF2 12 20
VPS62 60 2650
BTN2 20 356
SKN1 39 1308
THI4 47 2581
ENP2 17 196
ECL1 9 226
YGR146C-A 22 1257
NAT2 13 197
RPL24B 10 286
YGR149W 17 758
CCM1 3 7
YGR151C 8 47
RSR1 12 133
YGR153W 13 638
GTO1 29 760
CYS4 7 100
PTI1 11 19
CHO2 11 45
MTR3 0 0
NSR1 15 285
YGR160W 1 0
RTS3 25 1452
YGR161W-C 2 1
TIF4631 8 151
GTR2 12 120
YGR164W 13 269
MRPS35 3 33
TRS65 19 240
CLC1 3 6
YGR168C 15 179
PUS6 37 2147
LSO2 2 4
PSD2 52 2637
MSM1 4 9
YIP1 0 0
RBG2 13 411
CBP4 9 196
YGR174W-A 3 5
ERG1 0 0
YGR176W 35 1334
ATF2 55 2653
PBP1 16 326
OKP1 2 1
RNR4 2 1
TIM13 14 415
YGR182C 15 686
QCR9 2 1
UBR1 23 195
TYS1 0 0
TFG1 6 13
HGH1 8 33
BUB1 5 25
CRH1 21 355
YGR190C 3 7
HIP1 7 12
TDH3 14 21
PDX1 13 226
XKS1 30 946
SKI6 3 20
FYV8 30 457
SNG1 30 1663
YPP1 2 1
PMT6 42 1695
ELP2 13 250
YGR201C 27 1931
PCT1 43 804
YCH1 55 2622
ADE3 30 416
YGR204C-A 1 0
TDA10 15 554
MVB12 4 13
CIR1 7 32
SER2 1 0
TRX2 6 19
YGR210C 46 1550
ZPR1 8 12
SLI1 41 2485
RTA1 30 1293
RPS0A 5 26
RSM27 0 0
GPI1 2 1
CCH1 41 1395
CRM1 8 10
YGR219W 1 0
MRPL9 3 2
TOS2 33 1774
PET54 0 0
HSV2 5 11
AZR1 18 441
AMA1 15 620
YGR226C 0 0
DIE2 6 109
YGR228W 2 3
SMI1 5 42
BNS1 24 1192
PHB2 11 230
NAS6 21 748
PHO81 58 2509
YHB1 8 115
MIC26 9 18
SPG1 8 646
YGR237C 60 3496
KEL2 39 1705
PEX21 37 1579
PFK1 9 92
YGR240C-A 22 1054
YAP1802 46 1244
YGR242W 6 48
MPC3 4 69
LSC2 40 2053
SDA1 7 46
BRF1 1 0
CPD1 10 186
SOL4 10 171
MGA1 22 1655
YGR250C 14 211
NOP19 16 186
GCN5 5 13
PUP2 0 0
ENO1 30 718
COQ6 14 154
GND2 21 631
MTM1 4 22
RAD2 52 2121
YGR259C 9 140
TNA1 36 1093
APL6 20 621
BUD32 3 5
SAY1 19 499
MES1 6 22
YGR265W 19 253
YGR266W 38 2490
FOL2 1 0
HUA1 37 3260
YGR269W 37 1617
YTA7 49 1684
YGR270C-A 14 559
SLH1 86 5017
EFG1 2 5
YGR273C 7 339
TAF1 6 36
RTT102 6 95
RNH70 29 935
CAB4 1 0
CWC22 11 161
SCW4 5 10
PXR1 10 114
YOR1 65 2548
BGL2 6 40
YGR283C 20 995
ERV29 13 495
ZUO1 9 126
BIO2 25 1479
IMA1 27 921
MAL13 28 579
MAL11 30 2331
YGR290W 5 158
YGR291C 9 128
MAL12 11 52
YGR293C 3 6
PAU12 2 1
COS6 22 762
YRF1-3 68 155
YGR296C-A 2 1
YGR296C-B 6 5
YHL050C 55 1065
YHL050W-A 10 350
YHL049C 15 15
YHL048C-A 12 454
COS8 42 2036
ARN2 54 2501
YHL046W-A 11 452
PAU13 15 274
YHL045W 25 1299
YHL044W 22 1109
ECM34 21 678
YHL042W 47 1905
YHL041W 33 1540
ARN1 63 2687
EFM1 36 1195
CBP2 13 291
YHL037C 55 3394
MUP3 71 3990
VMR1 105 4639
YHL034W-A 8 39
SBP1 15 85
RPL8A 7 15
GUT1 83 3460
GOS1 3 2
YHL030W-A 3 20
ECM29 142 6311
OCA5 104 8417
WSC4 56 1748
RIM101 93 4061
YHL026C 89 6994
SNF6 98 4781
RIM4 130 6858
NPR3 12 46
SPO11 41 505
AIM17 65 3097
OPI1 12 186
YHL019W-A 26 1155
APM2 68 4341
YHL018W 9 298
YHL017W 86 6031
DUR3 133 6234
YHL015W-A 3 7
RPS20 0 0
YLF2 87 5251
OTU2 36 1729
YHL012W 97 5534
PRS3 3 2
ETP1 90 4954
YAP3 54 1381
YHL008C 125 4064
STE20 173 11817
YHL006W-A 53 4351
SHU1 216 24349
YHL005C 192 9170
MRP4 6 31
LAG1 78 4882
YHL002C-A 56 3539
HSE1 177 13610
RPL14B 42 1758
OSH7 134 8304
QCR10 43 1816
LEU5 19 617
TCD1 178 13968
NEM1 56 1874
GPA1 9 464
TIM10 11 686
STP2 79 3144
ERG11 12 131
YHR007C-A 85 9627
SOD2 29 414
TDA3 70 3606
RPL27A 1 0
DIA4 1 0
VPS29 2 1
ARD1 5 16
SPO13 30 2035
MIP6 96 3127
YSC84 52 2081
YSC83 41 975
ARG4 4 50
DED81 1 0
YHR020W 3 2
RPS27B 0 0
ECM12 20 823
YHR022C 29 886
YHR022C-A 7 458
MYO1 29 530
MAS2 0 0
THR1 1 0
VMA16 3 2
RPN1 3 2
DAP2 34 1067
YHR028W-A 37 661
YHI9 34 1392
SLT2 16 235
RRM3 66 2075
ERC1 116 7162
YHR032W-A 17 150
YHR032C-A 13 131
YHR033W 87 5416
PIH1 45 1474
NEL1 43 2560
BRL1 6 168
PUT2 53 2697
RRF1 0 0
MSC7 31 949
VMA10 1 0
BCD1 13 503
SRB2 12 228
NCP1 13 190
DOG2 25 661
DOG1 13 350
YHR045W 25 512
INM1 15 930
AAP1 57 2496
YHK8 49 2498
FSH1 17 447
YHR049C-A 32 675
SMF2 20 522
YHR050W-A 5 53
COX6 0 0
CIC1 1 0
YHR052W-A 2 1
CUP1-1 2 1
YHR054C 29 47
YHR054W-A 3 2
CUP1-2 3 2
RSC30 52 1007
YHR056W-A 11 177
CPR2 26 1142
MED6 9 348
FYV4 3 12
VMA22 0 0
GIC1 29 1128
RPP1 1 0
PAN5 20 879
YHR063W-A 4 10
SSZ1 8 64
RRP3 3 11
SSF1 23 687
HTD2 1 0
DYS1 5 7
RRP4 1 0
YHR069C-A 0 0
TRM5 2 7
YHR070C-A 11 391
PCL5 39 1649
YHR071C-A 5 178
ERG7 4 32
NOP10 0 0
OSH3 43 1658
YHR073W-A 1 0
YHR073C-B 1 0
QNS1 0 0
PPE1 31 763
PTC7 30 1290
NMD2 20 267
YHR078W 23 369
IRE1 11 24
SAE3 1 0
YHR080C 53 2969
LRP1 9 195
KSP1 39 2181
SAM35 1 0
STE12 40 1786
IPI1 0 0
NAM8 37 1426
YHR086W-A 26 763
RTC3 7 278
RPF1 0 0
GAR1 2 3
YNG2 1 0
MSR1 1 0
HXT4 33 746
AHT1 41 1292
HXT1 46 3474
YHR095W 27 712
HXT5 26 1091
YHR097C 61 3042
SFB3 33 1148
TRA1 20 78
GEP4 0 0
BIG1 5 99
KIC1 17 116
SBE22 25 334
GRE3 19 809
YPT35 10 185
TRR2 18 199
CDC12 0 0
GGA2 10 96
CTM1 22 430
ERP5 18 398
UBA4 4 27
YHR112C 36 2594
APE4 37 1067
BZZ1 46 1261
DMA1 44 3041
COX23 16 1068
TOM71 46 2305
ORC6 1 0
SET1 13 225
MSH1 0 0
LSM12 12 424
CIA2 3 4
EPT1 11 197
NDT80 45 1904
YHR125W 4 56
ANS1 9 484
YHR127W 19 620
FUR1 7 78
ARP1 3 2
YHR130C 3 18
YHR131C 24 835
YHR131W-A 11 150
ECM14 31 3463
IGO2 3 4
NSG1 11 238
WSS1 9 158
YCK1 41 2613
SPL2 4 25
ARO9 18 277
YHR137C-A 5 40
YHR138C 11 281
SPS100 18 531
YHR139C-A 15 421
YHR140W 28 911
RPL42B 2 1
CHS7 6 68
DSE2 17 180
RPC10 0 0
DCD1 17 1177
YHR145C 5 79
CRP1 11 238
MRPL6 0 0
IMP3 2 1
SKG6 33 1771
PEX28 27 1185
MTC6 26 540
SPO12 12 293
SPO16 11 210
RTT107 35 1051
YSP1 40 941
LIN1 33 1351
REC104 7 149
