gene_name number_of_transposon_per_gene number_of_read_per_gene
YBR076C-A 20 714
SLM4 16 139
ECM33 8 250
RPG1 17 149
SEC18 6 10
SPT7 16 74
UBC4 9 58
TEC1 38 1022
MIS1 19 695
RPL19A 17 620
AAC3 11 156
YBR085C-A 9 130
IST2 22 609
RFC5 2 3
POL30 3 2
YBR089W 1 0
NHP6B 19 295
YBR090C 43 550
TIM12 0 0
PHO3 16 246
PHO5 17 1038
PBY1 41 2090
RXT2 10 126
YBR096W 5 44
VPS15 12 272
MMS4 39 1165
YBR099C 13 265
FES1 1 0
EXO84 12 134
SIF2 17 787
YBR103C-A 26 1004
YMC2 43 2119
VID24 18 574
PHO88 3 15
IML3 5 69
AIM3 44 1519
CMD1 1 0
YBR109W-A 23 1148
ALG1 5 4
YSA1 15 273
SUS1 3 4
CYC8 12 177
YBR113W 11 58
RAD16 47 1671
LYS2 37 1604
YBR116C 29 1182
TKL2 47 2467
TEF2 0 0
MUD1 15 299
CBP6 3 2
GRS1 0 0
YBR121C-A 0 0
MRPL36 4 44
TFC1 9 120
YBR124W 14 598
PTC4 30 2127
TPS1 7 124
YBR126W-A 20 663
YBR126W-B 18 819
VMA2 10 285
ATG14 16 372
OPY1 16 138
SHE3 10 187
CCZ1 6 5
YBR131C-A 1 0
AGP2 27 422
HSL7 10 276
YBR134W 20 1339
CKS1 3 22
MEC1 14 117
YBR137W 14 690
YBR138C 22 620
YBR139W 24 682
IRA1 9 18
BMT2 26 891
YBR141W-A 1 0
MAK5 5 9
SUP45 4 4
YBR144C 32 1111
ADH5 25 1395
MRPS9 1 0
RTC2 16 954
YSW1 50 1381
ARA1 14 186
TBS1 51 2412
APD1 12 762
SPP381 12 430
RIB7 1 0
RPB5 2 1
CNS1 6 25
SLI15 13 123
ICS2 21 979
AMN1 32 1335
IFA38 3 3
CDC28 0 0
CSH1 15 160
TOS1 39 1424
YSY6 5 75
EXO5 3 12
ARL1 2 2
UBS1 7 33
TYR1 17 608
POP7 0 0
PEX32 16 416
SSE2 24 625
NPL4 15 693
SEC66 4 20
SMY2 19 664
UMP1 1 0
YBR174C 7 65
SWD3 7 33
ECM31 10 359
EHT1 24 942
YBR178W 23 375
FZO1 6 5
DTR1 21 301
RPS6B 3 16
SMP1 18 436
YBR182C-A 3 21
YPC1 20 550
YBR184W 31 1163
MBA1 5 14
PCH2 53 3514
GDT1 11 153
NTC20 6 31
RPS9B 2 1
YBR190W 0 0
RPL21A 3 3
YBR191W-A 0 0
RIM2 0 0
MED8 4 37
AIM4 10 538
MSI1 12 388
PGI1 2 1
YBR196C-A 15 230
YBR196C-B 19 1568
YBR197C 83 4462
TAF5 5 5
KTR4 10 101
BEM1 7 257
YBR200W-A 7 54
DER1 11 101
YBR201C-A 5 63
MCM7 27 1132
COS111 38 1082
LDH1 23 1362
KTR3 30 1440
YBR206W 9 407
FTH1 21 464
DUR1,2 93 3970
YBR209W 25 1057
ERV15 9 133
AME1 2 1
NGR1 26 719
MET8 35 1219
SDS24 27 1464
HPC2 20 495
YBP1 27 697
ATG12 2 8
PYC2 44 2186
YBR219C 42 1677
YBR220C 33 1304
PDB1 4 40
YBR221W-A 23 710
PCS60 62 1977
TDP1 66 2901
YBR223W-A 9 415
YBR224W 39 650
YBR225W 33 693
YBR226C 3 47
MCX1 22 312
SLX1 15 598
ROT2 51 3780
OM14 15 87
YBR230W-A 10 135
SWC5 6 23
YBR232C 12 103
PBP2 25 835
DAD3 2 1
ARC40 4 5
VHC1 43 1738
ABD1 1 0
PRP5 2 1
YBR238C 34 1627
ERT1 59 3267
THI2 24 1104
